turns,balance,speed,y
2,14988,1,1
3,14988,1,2
4,14988,1,3
5,14988,1,4
6,14609,5,9
7,14609,5,14
8,14609,5,19
9,14536,7,26
10,14536,1,27
11,14536,1,28
12,13963,6,34
13,13963,6,40
14,13963,6,46
15,13296,8,54
16,13296,8,62
17,13296,8,70
18,13296,8,78
19,13296,8,86
20,13296,8,94
21,13296,8,102
22,13296,8,110
23,13296,8,118
24,13296,8,126
25,13296,8,134
26,13296,8,142
27,13296,8,150
28,13296,8,158
29,13207,10,168
30,13207,10,178
31,13207,10,188
32,12824,13,201
33,12824,13,214
34,12824,13,227
35,12824,13,240
36,12824,13,253
37,12106,19,272
38,12106,19,291
39,12106,19,310
40,12106,19,329
41,12106,19,348
42,12106,19,367
43,12106,1,368
44,12106,1,369
45,12106,1,370
46,12106,1,371
47,12100,2,373
48,12100,2,375
49,12100,2,377
50,12097,3,380
51,12097,3,383
52,12097,3,386
53,12097,3,389
54,12096,4,393
55,12096,4,397
56,12095,5,402
57,12095,5,407
58,12095,5,412
59,12095,5,417
60,12095,5,422
61,12092,12,434
62,12090,14,448
63,12090,14,462
64,12090,1,463
65,12089,2,465
66,12089,1,466
67,12089,1,467
68,12072,10,477
69,12072,10,487
70,12072,1,488
71,11989,11,499
72,11989,11,510
73,11989,11,521
74,11989,11,532
75,11965,14,546
76,11965,14,560
77,11954,16,576
78,11954,1,577
79,11954,1,578
80,11954,1,579
81,11903,3,582
82,11903,3,585
83,11903,3,588
84,11148,5,593
85,11148,5,598
86,11148,5,603
87,11148,5,608
88,10155,7,615
89,10155,7,622
90,10155,9,631
91,10155,9,640
92,10155,9,649
93,10155,12,661
94,10155,12,673
95,10155,12,685
96,10155,12,697
97,10155,14,711
98,10155,16,727
99,10155,16,743
100,10155,1,744
101,10155,1,745
102,10155,1,746
103,10097,18,764
104,10097,18,782
105,10061,22,804
106,10061,22,826
107,10061,22,848
108,10028,27,875
109,10028,1,876
110,10028,1,877
111,9006,14,891
112,9006,14,905
113,8597,18,923
114,8597,18,941
115,8597,18,959
116,8414,21,980
116,8414,21,1001
